reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
7efb54a4-04df-490e-b7fb-99589d13684b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"game nya sudah bagus lumayan lah, tapi lama lama knp jadi 34Gb, tpi gpp lah masih bisa di mainin, ini hal yg saya inginkan semoga di jawab :1.kalo bisa primogem nya di naikin susah nyari primogem nya sekarang 2.kasih lah bansos (primo gratis) 3.sebenarnya ini bisa di pertimbangkan sih, detail in game nya tolong di per HD-kan 4.daily commission di naikin lah dari 60-berapa bebas 5.pas lagi story ada fitur ""percepat omongan"" tapi bisa di pertimbangkan sih. dah itu aja saran ku tapi tolong di baca.",5,34,5.5.0_31400259_31451966,2025-04-24 04:09:03,,,5.5.0_31400259_31451966
ad62ca01-8753-4634-ad98-1a6b41d2bf77,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Segi Quest Oke Tapi Pas Main agak Frame Drop karena settingan Grafik HD atau tertinggi. Karakter lumayan banyak, Archon quest bagus, Dan world questnya. Kurang. karena GK ada suara. jadi kurang seru gitu apalagi suara mereka kayak gimana gitu. mungkin hemat budget? gk tau tapi. walaupun. Lumayan seru Explore map Bareng temen. walaupun begitu moga aja update lebih bagus. aja. Nyari Primo aja susah. sih. dan mengoptimalkan versi android soalnya kadang lag apalagi hp gw spek tinggi masih lag",5,368,5.5.0_31400259_31451966,2025-04-07 10:44:48,,,5.5.0_31400259_31451966
02b3ae7b-c486-4536-9ed0-21bfe50e5d22,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"gamenya bagus bet, grafiknya apalagi. quest nya seru dan menantang, makin ga bosen mainin ni game, yaa cuma yang bikin ga enak tuh kalau jalanin beberapa misi harus minimal rank adventure berapa gitu, tapi walaupun gitu tetap seru, jadi ada tantangannya dan ga cepet selesai juga. auto gw kasih 5★",5,260,5.5.0_31400259_31451966,2025-04-04 12:15:46,,,5.5.0_31400259_31451966
96274ba6-5a1e-420c-ad02-908b3d55ae6d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"overall dari segi grafik nya udah bagus dan bisa menyesuaikan dengan perangkat kecil, hanya saja saya merasa bosan dengan quest yang memiliki banyak percakapan. Itu membuat waktu saya banyak yang terbuang hanya untuk mengerjakan Quest Dunia, jika bisa tolong kurangi Dialog dan perbanyak aksi seperti melawan monster dan lain lain. Lalu untuk artefak, terasa tidak adil bagi f2p karena mendapatkan artefak yang ampas, tolong perbesar kemungkinan untuk mendapatkan stat yang diinginkan. Sekian mksh",3,36,5.5.0_31400259_31451966,2025-04-04 09:54:15,,,5.5.0_31400259_31451966
ddfcb274-b949-4c28-99a8-d6fae01a483e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"kbanyakan bicara di alur cerita, tolong di bikin tombol skip dia setiap scene kecuali scene utama yg memang sebagai inti dari main Quest dan di buatkan secara singkat dari cerita yg sedang berlangsung saat kita ingin mengklik tombol skip scenenya.. game sebelah pun bisa dan itu bikin kebnayakan player nyaman ketimbang dengarin setiap scene dan ahrus memilih pilihan jawaban yg ujung2nya ga ngaruh di Quest yg dijalanin jadi ga guna juga.. tolong developer di bikin permudah",3,45,5.5.0_31400259_31451966,2025-03-30 03:16:12,,,5.5.0_31400259_31451966
96e40713-482c-4f6b-b168-7862eaf7403a,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Mulai ada peningkatan kualitas. Walaupun gak se drastis dan sesuai ekspektasi tapi udah lumayan lah. Capturing radiant lumayan membantu, story yg mulai terasa kuat, hanya untuk optimalisasi di Android harus lebih dimaksimalkan supaya tetap nyaman dimainkan dan tidak terlalu berat terutama di Natlan.",5,91,5.5.0_31400259_31451966,2025-04-03 08:07:34,,,5.5.0_31400259_31451966
5e0c9a66-1ee9-46e4-9543-821a396397cc,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Dari segi story biasa maupun story archon sudah bagus,wuestnya juga lumayan eventnya juga sudah lumayan,salah satu game open word dengan map yang sangat luas yang bagus, pembawaan cerita bagus desain karakternya pun bagus mantap dah.",5,29,5.5.0_31400259_31451966,2025-04-13 09:26:36,,,5.5.0_31400259_31451966
d37c048e-081d-4f2a-afbf-49541689bca6,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Gameplay untuk sekarang terasa monoton dan membosankan tapi akan sangat tertutupi dan lebih menarik apabila developer lebih mendengar feedback yang di minta para pemain terdahulu, seperti Fitur Skip Story, Artefak Loudout, Reward yang sesuai dan tidak sedikit, sistem Gacha yang lebih ramah untuk F2p, konten endgame baru dan juga sistem Resin yang lebih leluasa. semua itu telah diminta sejak lama tapi tolong loh yaa untuk developer jangn tuli/bebal amat agar bisa membuat banyak perubahan menarik.",1,2170,5.5.0_31400259_31451966,2025-03-26 07:01:33,,,5.5.0_31400259_31451966
595d9782-05b1-4430-8100-9702dd232baf,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"bagus cuman menurut ku quest nya bosenin, dan juga quest yang cerita nya panjang terus primo nya dikit biasanya cuman 40 primo doang, padahal di dalem quest itu ada teka teki yang menurut ku agak susah.gacha karakter juga susah, dan hoki itu bukan buat semua orang. jadi kalau gacha terus ngerjain 10 quest itu belum tentu cukup. tolong quest nya lebih menarik lagi-,dan teka teki nya jangan terlalu susah🙏, setidaknya kalau mengerjakan quest yang panjang, hadia primo nya tambah...",4,28,5.5.0_31400259_31451966,2025-04-07 23:52:29,,,5.5.0_31400259_31451966
59da92bc-d248-4735-9fc5-bb41bc411b9c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Memanjakan mata dan sangat seru, saya main dari 2023, karakter nya juga ok semua designnya, mekanisme battle juga sangat unik di setiap karakter, namun agak bosan ketika eksplorasi. Pokoknya baguss deehh nih game, tolong jangan kikir bgt yh, gacha char/artefak selalu ampas semua",5,23,5.5.0_31400259_31451966,2025-04-22 00:28:47,,,5.5.0_31400259_31451966
